manufacturer_code,legal_name,display_name,market_status,segments,brands,logo_path,logo_target_path,logo_status,source_name,source_url,verification_status
OEM-ATHER, Ather Energy Limited,Ather Energy,current,ELECTRIC_VEHICLE|TWO_WHEELER,Ather,,/assets/vehicle-brands/ather.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-ASHOK-LEYLAND,Ashok Leyland Limited,Ashok Leyland,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,Ashok Leyland,/assets/vehicle-brands/ashok-leyland.svg,/assets/vehicle-brands/ashok-leyland.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-ATUL-AUTO,Atul Auto Limited,Atul Auto,current,THREE_WHEELER|ELECTRIC_VEHICLE,Atul,,/assets/vehicle-brands/atul-auto.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-BAJAJ-AUTO,Bajaj Auto Limited,Bajaj Auto,current,TWO_WHEELER|THREE_WHEELER|ELECTRIC_VEHICLE,Bajaj,,/assets/vehicle-brands/bajaj.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-BAXY,Baxy Limited,Baxy,current,THREE_WHEELER|ELECTRIC_VEHICLE,Baxy,,/assets/vehicle-brands/baxy.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-BMW-INDIA,BMW India Private Limited,BMW India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,BMW|MINI,,/assets/vehicle-brands/bmw.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-DICV,Daimler India Commercial Vehicles Private Limited,Daimler India Commercial Vehicles,current,COMMERCIAL_VEHICLE,BharatBenz,,/assets/vehicle-brands/bharatbenz.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-FIAT-INDIA,Fiat India Automobiles Private Limited,Fiat India Automobiles,current,PASSENGER_VEHICLE,Fiat,,/assets/vehicle-brands/fiat.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-FORCE-MOTORS,Force Motors Limited,Force Motors,current,PASSENGER_VEHICLE|COMMERCIAL_VEHICLE|SPECIAL_PURPOSE,Force,,/assets/vehicle-brands/force-motors.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-FOTON-INDIA,Foton Motors Manufacturing India Private Limited,Foton Motors India,current,COMMERCIAL_VEHICLE,Foton,,/assets/vehicle-brands/foton.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-HERO-MOTOCORP,Hero MotoCorp Limited,Hero MotoCorp,current,TWO_WHEELER|ELECTRIC_VEHICLE,Hero,,/assets/vehicle-brands/hero.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-HONDA-CARS,Honda Cars India Limited,Honda Cars India,current,PASSENGER_VEHICLE,Honda,/assets/vehicle-brands/honda.svg,/assets/vehicle-brands/honda.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-HONDA-2W,Honda Motorcycle & Scooter India Private Limited,Honda Motorcycle & Scooter India,current,TWO_WHEELER,Honda,/assets/vehicle-brands/honda.svg,/assets/vehicle-brands/honda.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-HYUNDAI,Hyundai Motor India Limited,Hyundai Motor India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Hyundai,/assets/vehicle-brands/hyundai.svg,/assets/vehicle-brands/hyundai.svg,verified,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-KAWASAKI,India Kawasaki Motors Private Limited,India Kawasaki Motors,current,TWO_WHEELER,Kawasaki,,/assets/vehicle-brands/kawasaki.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-YAMAHA,India Yamaha Motor Private Limited,India Yamaha Motor,current,TWO_WHEELER,Yamaha,,/assets/vehicle-brands/yamaha.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-ISUZU,Isuzu Motors India Private Limited,Isuzu Motors India,current,PASSENGER_VEHICLE|COMMERCIAL_VEHICLE,Isuzu,,/assets/vehicle-brands/isuzu.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-JLR,Jaguar Land Rover India Limited,Jaguar Land Rover India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,Jaguar|Land Rover,,/assets/vehicle-brands/jaguar-land-rover.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-JBM-AUTO,JBM Auto Limited,JBM Auto,current,COMMERCIAL_VEHICLE|ELECTRIC_VEHICLE,JBM,,/assets/vehicle-brands/jbm.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
OEM-JSW-MG,JSW MG Motor India Private Limited,JSW MG Motor India,current,PASSENGER_VEHICLE|ELECTRIC_VEHICLE,MG,,/assets/vehicle-brands/mg.svg,missing,SIAM,https://www.siam.in/about-us/members,association_verified
